"Company name","ASX code","GICS industry group","Price","High","Low","Change","Volume"
"ISHARES S&P MID-CAP ETF","IJH","Not Applic",,"","","",""
"MOQ LIMITED","MOQ","Software & Services","0.2600","0.2600","0.2600","0.0000","3000"
"1-PAGE LIMITED","1PG","Software & Services",,"","","",""
"1300 SMILES LIMITED","ONT","Health Care Equipment & Services","6.6200","6.6200","6.5800","0.0305","14053"
"1ST GROUP LIMITED","1ST","Health Care Equipment & Services","0.0640","0.0640","0.0640","0.0010","29995"
"333D LIMITED","T3D","Technology Hardware & Equipment","0.0060","0.0060","0.0060","0.0000","250000"
"360 CAPITAL GROUP","TGP","Real Estate","0.9800","0.9800","0.9700","0.0152","33288"
"360 CAPITAL TOTAL RETURN FUND","TOT","Not Applic","1.2000","1.2000","1.2000","0.0000","4"
"3D OIL LIMITED","TDO","Energy","0.0680","0.0680","0.0680","-0.0063","16850"
"3D RESOURCES LIMITED","DDD","Materials","0.0100","0.0100","0.0100","-0.0009","267600"
"3P LEARNING LIMITED..","3PL","Consumer Services","1.3200","1.3200","1.3000","0.0413","78861"
"4DS MEMORY LIMITED","4DS","Semiconductors & Semiconductor Equipment","0.0280","0.0280","0.0280","0.0000","23591"
"88 ENERGY LIMITED","88E","Energy","0.0170","0.0170","0.0170","0.0000","4709937"
"8COMMON LIMITED","8CO","Software & Services","0.0550","0.0550","0.0550","0.0000","20000"
"8I HOLDINGS LTD","8IH","Diversified Financials","0.4000","0.4000","0.4000","0.0000","6000"
"8IP EMERGING COMPANIES LIMITED","8EC","Not Applic","1.0000","1.0000","1.0000","0.0256","8334"
"9 SPOKES INTERNATIONAL LIMITED","9SP","Software & Services","0.1150","0.1150","0.1150","0.0052","50000"
"99 WUXIAN LIMITED","NNW","Retailing","0.0600","0.0600","0.0550","0.0021","10000"
"A-CAP RESOURCES LIMITED","ACB","Energy","0.0450","0.0450","0.0450","-0.0019","15000"
"A.C.N. 004 410 833 LIMITED","ARI","Materials",,"","","",""
"A1 INVESTMENTS & RESOURCES LTD","AYI","Diversified Financials",,"","","",""
"ABACUS PROPERTY GROUP","ABP","Real Estate","3.7800","3.7800","3.7700","0.0102","89411"
"ABERDEEN LEADERS LIMITED","ALR","Diversified Financials","1.1500","1.1500","1.1500","-0.0148","2460"
"ABILENE OIL AND GAS LIMITED","ABL","Energy","0.0070","0.0070","0.0070","0.0000","1143"
"ABM RESOURCES NL","ABU","Materials","0.1200","0.1200","0.1200","0.0000","5378"
"ABSOLUTE EQUITY PERFORMANCE FUND LIMITED","AEG","Not Applic","1.0350","1.0350","1.0350","0.0000","9636"
"ABUNDANT PRODUCE LIMITED","ABT","Food, Beverage & Tobacco","0.4300","0.4300","0.4300","-0.0049","700"
"ACACIA COAL LIMITED","AJC","Energy",,"","","",""
"ACADEMIES AUSTRALASIA GROUP LIMITED","AKG","Consumer Services","0.3350","0.3350","0.3300","0.0000","11700"
"ACCENT RESOURCES NL","ACS","Materials",,"0.0220","0.0220","0.0000","2500"
"ACONEX LIMITED","ACX","Software & Services","4.0100","4.0700","4.0000","0.0201","112519"
"ACORN CAPITAL INVESTMENT FUND LIMITED","ACQ","Not Applic","0.9750","0.9800","0.9750","0.0000","55105"
"ACRUX LIMITED","ACR","Pharmaceuticals, Biotechnology & Life Sciences","0.1900","0.1900","0.1850","0.0000","62274"
"ACTINOGEN MEDICAL LIMITED","ACW","Pharmaceuticals, Biotechnology & Life Sciences","0.0530","0.0530","0.0530","-0.0010","65307"
"ACTIVEX LIMITED","AIV","Materials","0.1700","0.1700","0.1700","0.0000","7200"
"ACTIVISTIC LIMITED","ACU","Software & Services",,"","","",""
"ADACEL TECHNOLOGIES LIMITED","ADA","Software & Services","2.9100","2.9600","2.9100","-0.0396","32486"
"ADAIRS LIMITED","ADH","Retailing","1.6150","1.6350","1.6150","0.0000","45966"
"ADALTA LIMITED","1AD","Pharmaceuticals, Biotechnology & Life Sciences","0.2250","0.2250","0.2250","0.0000","20000"
"ADAVALE RESOURCES LIMITED","ADD","Energy",,"0.0150","0.0150","0.0000","27409"
"ADCORP AUSTRALIA LIMITED","AAU","Media","0.0090","0.0090","0.0090","0.0000","135000"
"ADELAIDE BRIGHTON LIMITED","ABC","Materials","5.7900","5.7900","5.7700","0.0098","130504"
"ADG GLOBAL SUPPLY LIMITED.","ADQ","Capital Goods",,"","","",""
"ADHERIUM LIMITED","ADR","Health Care Equipment & Services","0.1050","0.1050","0.1050","0.0000","31495"
"ADMEDUS LTD","AHZ","Health Care Equipment & Services","0.2500","0.2500","0.2500","-0.0049","3350"
"ADMIRALTY RESOURCES NL.","ADY","Materials","0.0070","0.0070","0.0070","0.0000","1752"
"ADSLOT LTD","ADJ","Software & Services","0.0500","0.0500","0.0500","0.0010","73186"
"ADVANCED BRAKING TECHNOLOGY LTD","ABV","Automobiles & Components","0.0050","0.0050","0.0050","0.0000","253000"
"ADVANCED NANO TECHNOLOGIES LIMITED","ANO","Materials","0.5000","0.5000","0.5000","-0.0098","1200"
"ADVANCED SHARE REGISTRY LIMITED","ASW","Diversified Financials","0.7800","0.7800","0.7800","0.0000","4350"
"ADX ENERGY LTD","ADX","Energy","0.0130","0.0130","0.0130","0.0000","992807"
"AEERIS LTD","AER","Software & Services",,"","","",""
"AEON METALS LIMITED.","AML","Materials","0.1600","0.1600","0.1550","0.0052","143964"
"AERIS ENVIRONMENTAL LTD","AEI","Commercial & Professional Services","0.2500","0.2500","0.2500","0.0218","12000"
"AERIS RESOURCES LIMITED","AIS","Materials","0.0700","0.0700","0.0700","0.0000","2210"
"AFRICAN ENERGY RESOURCES LIMITED","AFR","Energy","0.0450","0.0450","0.0450","0.0021","12000"
"AFT CORPORATION LIMITED","AFT","Capital Goods","0.0010","0.0010","0.0010","0.0000","500000"
"AFT PHARMACEUTICALS LIMITED","AFP","Pharmaceuticals, Biotechnology & Life Sciences",,"2.2500","2.2500","0.0407","1500"
"AFTERPAY TOUCH GROUP LIMITED","APT","Software & Services","4.2700","4.3000","4.2500","-0.0299","46186"
"AGL ENERGY LIMITED.","AGL","Utilities","22.6900","22.7500","22.6600","-0.0998","247855"
"AGRICULTURAL LAND TRUST","AGJ","Real Estate",,"0.0500","0.0500","0.0010","4000"
"AGRIMIN LIMITED","AMN","Materials","0.5050","0.5100","0.5050","0.0051","19488"
"AGUIA RESOURCES LIMITED","AGR","Materials","0.4300","0.4300","0.4300","0.0102","1576"
"AHALIFE HOLDINGS LIMITED","AHL","Software & Services","0.0170","0.0170","0.0170","0.0011","394611"
"AIMS PROPERTY SECURITIES FUND","APW","Real Estate","1.6100","1.6200","1.6100","-0.0100","25000"
"AINSWORTH GAME TECHNOLOGY LIMITED","AGI","Consumer Services","2.4900","2.5000","2.4800","0.0050","10779"
"AIR NEW ZEALAND LIMITED","AIZ","Transportation",,"","","",""
"AIRXPANDERS, INC.","AXP","Health Care Equipment & Services","0.7350","0.7350","0.7350","-0.0242","22"
"AJ LUCAS GROUP LIMITED","AJL","Capital Goods","0.2050","0.2100","0.2000","-0.0095","106705"
"ALACER GOLD CORP.","AQG","Materials","2.2400","2.2400","2.2100","0.0101","12445"
"ALARA RESOURCES LIMITED","AUQ","Materials","0.0160","0.0160","0.0160","0.0000","198431"
"ALCHEMIA LIMITED","ACL","Pharmaceuticals, Biotechnology & Life Sciences","0.0070","0.0070","0.0070","0.0000","921"
"ALCHEMY RESOURCES LIMITED","ALY","Materials","0.0200","0.0200","0.0200","0.0000","285000"
"ALCIDION GROUP LIMITED","ALC","Health Care Equipment & Services","0.0530","0.0530","0.0530","0.0000","228792"
"ALDERAN RESOURCES LIMITED","AL8","Materials","1.7400","1.7400","1.7300","-0.0099","3190"
"ALE PROPERTY GROUP","LEP","Real Estate","4.8800","4.8800","4.8000","0.0000","13573"
"ALEXIUM INTERNATIONAL GROUP LIMITED","AJX","Materials","0.4000","0.4000","0.4000","-0.0049","19"
"ALGAE.TEC LIMITED","AEB","Energy","0.0250","0.0250","0.0240","0.0000","2373776"
"ALICANTO MINERALS LIMITED","AQI","Materials","0.1300","0.1300","0.1300","0.0000","44100"
"ALICE QUEEN LIMITED","AQX","Energy","0.0470","0.0470","0.0470","0.0010","125000"
"ALKANE RESOURCES LIMITED","ALK","Materials","0.3300","0.3350","0.3300","-0.0049","140106"
"ALLEGIANCE COAL LIMITED","AHQ","Energy","0.0340","0.0350","0.0340","0.0010","178570"
"ALLEGRA ORTHOPAEDICS LIMITED","AMT","Health Care Equipment & Services","0.1500","0.1500","0.1500","0.0000","1279"
"ALLIANCE AVIATION SERVICES LIMITED","AQZ","Transportation","1.2800","1.2850","1.2750","-0.0050","27864"
"ALLIANCE RESOURCES LIMITED","AGS","Materials","0.0900","0.0900","0.0900","0.0076","2640"
"ALLIGATOR ENERGY LIMITED","AGE","Energy","0.0100","0.0100","0.0100","0.0000","99249"
"ALLOY RESOURCES LIMITED","AYR","Materials","0.0050","0.0050","0.0050","0.0000","400000"
"ALS LIMITED","ALQ","Commercial & Professional Services","7.9700","7.9900","7.9500","0.0104","148465"
"ALT RESOURCES LIMITED","ARS","Materials","0.0620","0.0620","0.0620","0.0000","15000"
"ALTECH CHEMICALS LTD","ATC","Materials","0.1550","0.1550","0.1500","0.0052","148273"
"ALTERNATIVE INVESTMENT TRUST","AIQ","Not Applic","0.0800","0.0800","0.0800","0.0020","6274"
"ALTERRA LIMITED","1AG","Commercial & Professional Services","0.0380","0.0420","0.0380","0.0033","178100"
"ALTIUM LIMITED","ALU","Software & Services","11.0250","11.0450","10.9400","0.1114","90855"
"ALTO METALS LIMITED","AME","Energy","0.0910","0.0910","0.0910","0.0000","92792"
"ALTONA MINING LIMITED","AOH","Materials","0.1300","0.1300","0.1300","0.0000","94671"
"ALTURA MINING LIMITED","AJM","Materials","0.2800","0.2950","0.2800","0.0000","2730849"
"ALUMINA LIMITED","AWC","Materials","2.2500","2.2500","2.2400","0.0050","1885271"
"AMA GROUP LIMITED","AMA","Retailing","0.9520","0.9650","0.9520","0.0000","30185"
"AMANI GOLD LIMITED","ANL","Materials","0.0290","0.0290","0.0290","0.0000","38000"
"AMAYSIM AUSTRALIA LIMITED","AYS","Telecommunication Services","2.0200","2.0200","2.0100","0.0051","144924"
"AMBERTECH LIMITED","AMO","Technology Hardware & Equipment",,"0.1400","0.1400","0.0108","3000"
"AMBITION GROUP LIMITED","AMB","Commercial & Professional Services",,"0.1800","0.1800","0.0106","7799"
"AMCIL LIMITED","AMH","Diversified Financials","0.8750","0.8750","0.8750","0.0000","20961"
"AMCOR LIMITED","AMC","Materials","15.1800","15.2100","15.1750","-0.0395","273886"
"AMERICAN PACIFIC BORATE & LITHIUM LIMITED","ABR","Materials","0.3000","0.3000","0.3000","0.0051","14750"
"AMERICAN PATRIOT OIL & GAS LIMITED","AOW","Energy","0.0260","0.0260","0.0250","0.0010","134100"
"AMP LIMITED","AMP","Insurance","4.7700","4.7900","4.7600","0.0048","777349"
"ANAECO LIMITED","ANQ","Commercial & Professional Services",,"0.0030","0.0030","0.0000","600000"
"ANALYTICA LIMITED","ALT","Health Care Equipment & Services","0.0040","0.0040","0.0040","0.0000","185810"
"ANATARA LIFESCIENCES LTD","ANR","Pharmaceuticals, Biotechnology & Life Sciences","1.3300","1.3300","1.3300","0.0101","4242"
"ANCHOR RESOURCES LIMITED","AHR","Materials",,"0.0200","0.0200","","24000"
"ANDROMEDA METALS LIMITED","ADN","Materials","0.0060","0.0060","0.0060","0.0000","16278"
"ANEKA TAMBANG (PERSERO) TBK (PT)","ATM","Materials",,"","","",""
"ANGLO AMERICAN CAPITAL PLC","AQM","Not Applic",,"","","",""
"ANGLO AUSTRALIAN RESOURCES NL","AAR","Materials","0.0700","0.0700","0.0670","0.0010","274779"
"ANGLOGOLD ASHANTI LIMITED","AGG","Materials","2.4600","2.4700","2.4600","0.0202","206"
"ANIMOCA BRANDS CORPORATION LIMITED","AB1","Software & Services","0.0150","0.0150","0.0150","0.0000","565008"
"ANOVA METALS LIMITED","AWV","Materials","0.0930","0.0930","0.0920","-0.0010","218424"
"ANSELL LIMITED","ANN","Health Care Equipment & Services","22.6900","22.7700","22.6800","0.0000","84016"
"ANSON RESOURCES LIMITED","ASN","Materials","0.0380","0.0400","0.0380","0.0010","2255165"
"ANTARES ENERGY LIMITED","AZZ","Energy",,"","","",""
"ANTE REAL ESTATE TRUST","ATT","Real Estate",,"0.0060","0.0060","-0.0027","43729"
"ANTEO DIAGNOSTICS LIMITED","ADO","Pharmaceuticals, Biotechnology & Life Sciences","0.0140","0.0140","0.0140","0.0000","23878"
"ANTILLES OIL AND GAS NL","AVD","Energy","0.0150","0.0150","0.0150","0.0000","55118"
"ANTIPA MINERALS LIMITED","AZY","Materials","0.0220","0.0220","0.0220","0.0000","124000"
"ANTIPODES GLOBAL INVESTMENT COMPANY LTD","APL","Not Applic","1.2150","1.2200","1.2150","0.0000","49207"
"ANTISENSE THERAPEUTICS LIMITED","ANP","Pharmaceuticals, Biotechnology & Life Sciences","0.0340","0.0340","0.0340","-0.0028","8373"
"AP EAGERS LIMITED","APE","Retailing","7.6600","7.7000","7.6500","-0.1279","1273"
"APA GROUP","APA","Utilities","8.0800","8.1000","8.0800","0.0000","112790"
"APAC COAL LIMITED","AAL","Energy",,"","","",""
"APHRODITE GOLD LIMITED","AQQ","Materials","0.0310","0.0310","0.0310","-0.0019","400446"
"APIAM ANIMAL HEALTH LIMITED","AHX","Health Care Equipment & Services","0.7800","0.7800","0.7800","-0.0243","500"
"APN OUTDOOR GROUP LIMITED","APO","Media","4.3700","4.3900","4.3700","0.0101","102531"
"APN PROPERTY GROUP LIMITED","APD","Diversified Financials","0.4000","0.4000","0.4000","-0.0049","17172"
"APOLLO CONSOLIDATED LIMITED","AOP","Materials","0.1300","0.1300","0.1300","0.0000","115000"
"APOLLO MINERALS LIMITED","AON","Materials","0.2600","0.2600","0.2550","0.0000","75000"
"APOLLO SERIES 2010-1 TRUST","AOJ","Not Applic",,"","","",""
"APOLLO SERIES 2013-1 TRUST","AOR","Not Applic",,"","","",""
"APOLLO SERIES 2015-1 TRUST","AOL","Not Applic",,"","","",""
"APOLLO TOURISM & LEISURE LTD","ATL","Automobiles & Components","1.3900","1.4000","1.3750","0.0100","65511"
"APPEN LIMITED","APX","Software & Services","5.4750","5.5000","5.4500","-0.0148","76599"
"APPLYDIRECT LIMITED","AD1","Software & Services",,"","","",""
"APT PIPELINES LIMITED.","AQH","Not Applic",,"","","",""
"AQUAINT CAPITAL HOLDINGS LIMITED","AQU","Consumer Services",,"","","",""
"AQUIS ENTERTAINMENT LIMITED","AQS","Consumer Services",,"0.0600","0.0600","-0.0046","5000"
"ARAFURA RESOURCES LIMITED","ARU","Materials","0.1400","0.1450","0.1400","0.0000","192972"
"ARB CORPORATION LIMITED.","ARB","Automobiles & Components","16.9900","17.0300","16.9900","-0.0357","16056"
"ARC EXPLORATION LIMITED","ARX","Materials","0.5200","0.5200","0.5200","0.0000","34"
"ARCHER EXPLORATION LIMITED","AXE","Materials","0.0640","0.0640","0.0640","0.0010","20000"
"ARDEA RESOURCES LIMITED","ARL","Materials","0.8550","0.8700","0.8450","0.0000","28734"
"ARDENT LEISURE GROUP","AAD","Consumer Services","1.8350","1.8350","1.8250","0.0029","115511"
"ARDIDEN LTD","ADV","Materials","0.0170","0.0180","0.0170","0.0000","825930"
"ARENA REIT.","ARF","Real Estate","2.2050","2.2050","2.1600","-0.0099","73875"
"ARGENT MINERALS LIMITED","ARD","Materials","0.0320","0.0330","0.0320","0.0000","85000"
"ARGO EXPLORATION LIMITED","AXT","Materials","0.0260","0.0260","0.0260","-0.0035","52556"
"ARGO GLOBAL LISTED INFRASTRUCTURE LIMITED","ALI","Diversified Financials",,"","","",""
"ARGO INVESTMENTS LIMITED","ARG","Not Applic","7.9300","7.9400","7.9300","0.0103","6071"
"ARGONAUT RESOURCES NL","ARE","Materials","0.0130","0.0130","0.0130","0.0011","820613"
"ARGOSY MINERALS LIMITED","AGY","Materials","0.2500","0.2550","0.2500","-0.0049","2347642"
"ARIADNE AUSTRALIA LIMITED","ARA","Commercial & Professional Services","0.7600","0.7600","0.7600","-0.0099","27870"
"ARISTOCRAT LEISURE LIMITED","ALL","Consumer Services","21.0600","21.1200","21.0400","-0.0295","165248"
"ARK MINES LIMITED","AHK","Materials","0.0800","0.0800","0.0800","0.0000","5700"
"ARMOUR ENERGY LIMITED","AJQ","Energy","0.0870","0.0870","0.0860","0.0010","88323"
"AROWANA AUSTRALASIAN VALUE OPPORTUNITIES FUND LIMITED","AWQ","Not Applic","0.9900","0.9900","0.9900","-0.0148","785"
"AROWANA INTERNATIONAL LIMITED","AWN","Capital Goods","0.4400","0.4400","0.4400","0.0000","4000"
"ARROWHEAD RESOURCES LIMITED","AR1","Materials","0.0120","0.0120","0.0120","0.0000","78116"
"ARTEMIS RESOURCES LIMITED","ARV","Materials","0.2800","0.2850","0.2750","-0.0049","1551307"
"ARUMA RESOURCES LIMITED","AAJ","Materials","0.0100","0.0100","0.0100","0.0011","60004"
"ASALEO CARE LIMITED","AHY","Household & Personal Products","1.5570","1.5600","1.5520","0.0000","133817"
"ASAPLUS RESOURCES LIMITED","AJY","Materials",,"0.1200","0.1200","0.0000","40000"
"ASF GROUP LIMITED","AFA","Diversified Financials","0.1550","0.1550","0.1550","0.0166","8665"
"ASHLEY SERVICES GROUP LIMITED","ASH","Commercial & Professional Services","0.1300","0.1300","0.1300","0.0000","40000"
"ASIA PACIFIC DATA CENTRE GROUP","AJD","Real Estate","1.9600","1.9600","1.9550","0.0000","33"
"ASIA PACIFIC DIGITAL LIMITED","DIG","Media",,"0.1600","0.1600","0.0000","528"
"ASIAN AMERICAN MEDICAL GROUP LIMITED","AJJ","Health Care Equipment & Services","0.1050","0.1050","0.1050","0.0000","322000"
"ASIAN DEVELOPMENT BANK","ATB","Not Applic",,"","","",""
"ASIAN MASTERS FUND LIMITED","AUF","Diversified Financials","1.3200","1.3200","1.3200","0.0100","12024"
"ASIAN MINERAL RESOURCES LIMITED","AM3","Class Pend",,"","","",""
"ASK FUNDING LIMITED","AKF","Diversified Financials",,"0.0560","0.0550","","1198"
"ASPEN GROUP","APZ","Real Estate","1.0700","1.0700","1.0700","0.0000","242"
"ASPERMONT LIMITED.","ASP","Media","0.0090","0.0090","0.0090","-0.0009","500000"
"ASPIRE MINING LIMITED","AKM","Materials","0.0190","0.0190","0.0180","-0.0010","126476"
"ASSEMBLEBAY LIMITED","ASY","Software & Services",,"","","",""
"ASSETOWL LIMITED","AO1","Software & Services","0.1750","0.1750","0.1750","-0.0049","33810"
"ASTIVITA LIMITED","AIR","Capital Goods",,"0.0250","0.0240","-0.0034","60000"
"ASTRO JAPAN PROPERTY GROUP","AJA","Real Estate",,"7.2600","7.2400","0.0000","15469"
"ASTRO RESOURCES NL","ARO","Materials","0.0020","0.0020","0.0020","-0.0007","10000"
"ASTRON CORPORATION LIMITED","ATR","Materials",,"0.1900","0.1900","0.0000","19500"
"ASX LIMITED","ASX","Diversified Financials","52.8800","52.9250","52.7500","0.0212","61169"
"ATC ALLOYS LTD","ATA","Materials",,"","","",""
"ATCOR MEDICAL HOLDINGS LIMITED","ACG","Health Care Equipment & Services","0.0280","0.0280","0.0280","0.0000","36025"
"ATHENA RESOURCES LIMITED","AHN","Materials","0.0320","0.0320","0.0320","0.0000","17200"
"ATLAS IRON LIMITED","AGO","Materials","0.0170","0.0180","0.0170","0.0000","963051"
"ATLAS PEARLS AND PERFUMES LTD","ATP","Consumer Durables & Apparel",,"0.0270","0.0270","-0.0010","40000"
"ATRUM COAL LIMITED","ATU","Materials","0.1950","0.1950","0.1950","-0.0049","14085"
"AUB GROUP LIMITED","AUB","Insurance","12.7100","12.8200","12.6900","0.0000","6620"
"AUCKLAND INTERNATIONAL AIRPORT LIMITED","AIA","Transportation","5.7400","5.7600","5.7350","0.0201","14366"
"AUDALIA RESOURCES LIMITED","ACP","Materials",,"0.0130","0.0130","-0.0017","400000"
"AUDINATE GROUP LIMITED","AD8","Technology Hardware & Equipment",,"","","",""
"AUDIO PIXELS HOLDINGS LIMITED","AKP","Consumer Durables & Apparel","22.1500","22.3700","22.0500","-0.0598","648"
"AUGEND LTD","AUG","Energy",,"","","",""
"AUKING MINING LIMITED","AKN","Materials","0.0050","0.0050","0.0050","0.0000","100000"
"AURA ENERGY LIMITED","AEE","Energy","0.0260","0.0260","0.0260","0.0000","445730"
"AURELIA METALS LIMITED","AMI","Materials","0.2500","0.2500","0.2500","-0.0049","47221"
"AURIS MINERALS LIMITED","AUR","Materials","0.0780","0.0780","0.0780","-0.0010","7500"
"AURIZON HOLDINGS LIMITED","AZJ","Transportation","4.7850","4.8100","4.7750","-0.0100","846040"
"AUROCH MINERALS LTD","AOU","Materials","0.2050","0.2050","0.2050","0.0000","4780"
"AURORA ABSOLUTE RETURN FUND","ABW","Not Applic","0.4150","0.4150","0.4150","0.0000","1614"
"AURORA DIVIDEND INCOME TRUST (MANAGED FUND)","AOD","Not Applic","0.6400","0.6400","0.6400","-0.0050","20700"
"AURORA GLOBAL INCOME TRUST","AIB","Diversified Financials",,"0.5000","0.5000","0.0265","27672"
"AURORA LABS LIMITED","A3D","Capital Goods","0.5850","0.5850","0.5800","0.0000","4000"
"AURORA MINERALS LIMITED","ARM","Materials","0.0420","0.0420","0.0420","-0.0010","44110"
"AURORA PROPERTY BUY-WRITE INCOME TRUST","AUP","Not Applic",,"4.5000","4.5000","0.0000","120"
"AUS ASIA MINERALS LIMITED","AQJ","Energy",,"","","",""
"AUS TIN MINING LTD","ANW","Materials","0.0090","0.0090","0.0090","0.0000","120000"
"AUSCANN GROUP HOLDINGS LTD","AC8","Pharmaceuticals, Biotechnology & Life Sciences","0.4600","0.4600","0.4550","-0.0050","148057"
"AUSDRILL LIMITED","ASL","Materials","2.1650","2.2000","2.1500","0.0050","470207"
"AUSGOLD LIMITED","AUC","Materials","0.0280","0.0300","0.0280","0.0010","55506"
"AUSMEX MINING GROUP LIMITED","AMG","Materials","0.0650","0.0650","0.0630","0.0000","296695"
"AUSMON RESOURCES LIMITED","AOA","Materials","0.0040","0.0040","0.0040","0.0000","1304100"
"AUSNET FINANCIAL SERVICES LIMITED","AU1","Real Estate","0.0210","0.0210","0.0210","0.0011","100000"
"AUSNET SERVICES HOLDINGS PTY LTD","ANV","Not Applic",,"","","",""
"AUSNET SERVICES LIMITED","AST","Utilities","1.6770","1.6800","1.6720","-0.0030","353909"
"AUSQUEST LIMITED","AQD","Materials","0.0200","0.0200","0.0200","0.0000","100000"
"AUSROC METALS LTD","ARK","Materials",,"","","",""
"AUSTAL LIMITED","ASB","Capital Goods","1.6150","1.6320","1.6150","-0.0100","22286"
"AUSTCHINA HOLDINGS LIMITED","AUH","Energy","0.0080","0.0080","0.0080","0.0011","22631"
"AUSTEX OIL LIMITED","AOK","Energy","0.0140","0.0150","0.0140","0.0000","500000"
"AUSTIN ENGINEERING LIMITED","ANG","Capital Goods","0.2300","0.2300","0.2300","0.0000","6616"
"AUSTOCK GROUP LIMITED","ACK","Insurance","0.9100","0.9100","0.9000","0.0050","90000"
"AUSTPAC RESOURCES NL","APG","Materials","0.0070","0.0070","0.0070","0.0000","126214"
"AUSTRAL GOLD LIMITED","AGD","Materials","0.1450","0.1450","0.1450","0.0000","10500"
"AUSTRALASIAN RESOURCES LIMITED","ARH","Materials",,"","","",""
"AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED","ANZ","Banks","29.4450","29.4700","29.3800","0.0559","505740"
"AUSTRALIA UNITED MINING LIMITED","AYM","Materials","0.0020","0.0020","0.0020","0.0000","10000"
"AUSTRALIA WETOUCH TECHNOLOGY LIMITED","AWT","Class Pend",,"","","",""
"AUSTRALIAN AGRICULTURAL COMPANY LIMITED.","AAC","Food, Beverage & Tobacco","1.4800","1.4820","1.4750","0.0030","121594"
"AUSTRALIAN AGRICULTURAL PROJECTS LIMITED","AAP","Food, Beverage & Tobacco",,"0.0250","0.0250","0.0000","50000"
"AUSTRALIAN BAUXITE LIMITED.","ABX","Materials","0.1500","0.1500","0.1500","0.0000","72806"
"AUSTRALIAN CAREERS NETWORK LIMITED","ACO","Consumer Services",,"","","",""
"AUSTRALIAN COMMONWEALTH GOVERNMENT LOANS","XCL","Not Applic",,"","","",""
"AUSTRALIAN DAIRY FARMS GROUP","AHF","Food, Beverage & Tobacco","0.1250","0.1250","0.1250","0.0052","7050"
"AUSTRALIAN ENHANCED INCOME FUND","AYF","Not Applic","6.1200","6.1200","6.1000","0.0000","850"
"AUSTRALIAN ETHICAL INVESTMENT LIMITED","AEF","Diversified Financials","131.0000","131.0000","131.0000","-0.7860","5"
"AUSTRALIAN FINANCE GROUP LTD","AFG","Banks","1.6050","1.6150","1.6020","0.0000","17392"
"AUSTRALIAN FOUNDATION INVESTMENT COMPANY LIMITED","AFI","Not Applic","5.9100","5.9400","5.9100","-0.0100","34008"
"AUSTRALIAN GOVERNANCE MASTERS INDEX FUND LIMITED","AQF","Diversified Financials","1.8600","1.8600","1.8550","-0.0296","6500"
"AUSTRALIAN GOVERNMENT TREASURY BONDS","GSB","Not Applic",,"","","",""
"AUSTRALIAN GOVERNMENT TREASURY INDEXED BONDS","GSI","Not Applic",,"","","",""
"AUSTRALIAN LEADERS FUND LIMITED","ALF","Diversified Financials","1.1500","1.1500","1.1450","0.0051","62961"
"AUSTRALIAN MASTERS YIELD FUND NO 3 LIMITED","AYJ","Not Applic",,"","","",""
"AUSTRALIAN MASTERS YIELD FUND NO 4 LIMITED","AYK","Not Applic",,"","","",""
"AUSTRALIAN MASTERS YIELD FUND NO 5 LIMITED","AYZ","Not Applic",,"","","",""
"AUSTRALIAN MINES LIMITED","AUZ","Materials","0.0170","0.0170","0.0170","0.0000","267800"
"AUSTRALIAN PACIFIC COAL LIMITED","AQC","Materials","0.0110","0.0110","0.0110","0.0000","437277"
"AUSTRALIAN PHARMACEUTICAL INDUSTRIES LIMITED","API","Health Care Equipment & Services","1.4750","1.4750","1.4600","0.0000","351085"
"AUSTRALIAN POTASH LIMITED","APC","Materials","0.0910","0.0910","0.0900","-0.0029","90000"
"AUSTRALIAN RURAL CAPITAL LIMITED","ARC","Diversified Financials","0.6500","0.6500","0.6500","0.0000","108"
"AUSTRALIAN UNITED INVESTMENT COMPANY LIMITED","AUI","Diversified Financials","8.3000","8.3000","8.3000","-0.0299","850"
"AUSTRALIAN UNITY LIMITED","AYU","Not Applic",,"","","",""
"AUSTRALIAN UNITY OFFICE FUND","AOF","Real Estate","2.2800","2.2900","2.2800","-0.0100","2229"
"AUSTRALIAN VANADIUM LIMITED","AVL","Materials","0.0140","0.0150","0.0140","0.0000","177185"
"AUSTRALIAN VINTAGE LTD","AVG","Food, Beverage & Tobacco","0.4300","0.4300","0.4300","-0.0049","2064"
"AUSTRALIAN WHISKY HOLDINGS LIMITED","AWY","Food, Beverage & Tobacco","0.0330","0.0330","0.0330","0.0033","7000"
"AUSTRALIS OIL & GAS LIMITED","ATS","Energy","0.2000","0.2150","0.2000","0.0000","69020"
"AUSTSINO RESOURCES GROUP LIMITED","ANS","Materials",,"","","",""
"AUSWIDE BANK LTD","ABA","Banks","5.2500","5.2800","5.1700","0.0000","6817"
"AUTHORISED INVESTMENT FUND LIMITED","AIY","Not Applic","0.0100","0.0100","0.0100","0.0000","100000"
"AUTOMOTIVE HOLDINGS GROUP LIMITED.","AHG","Retailing","3.3900","3.3900","3.3700","0.0000","51730"
"AUTOMOTIVE SOLUTIONS GROUP LTD","4WD","Automobiles & Components","0.2200","0.2200","0.2150","0.0000","50000"
"AUTOSPORTS GROUP LIMITED.","ASG","Retailing","2.4000","2.4000","2.4000","0.0000","1037"
